team,year,leag,o_fgm,o_fga,o_ftm,o_fta,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_3pm,o_3pa,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_3pm,d_3pa,d_pts,pace,won,lost
WAS,2007,N,2986,6695,1557,1991,1007,2404,3411,1607,1606,632,1032,391,575,1614,8104,3015,6537,1418,1880,900,2478,3378,1958,1656,529,1102,360,683,1768,8131,91.68861,43,39
ATL,2008,N,2956,6451,1537,2085,870,2412,3282,1657,1610,603,1048,376,597,1633,8046,3002,6610,1385,1800,956,2481,3437,1705,1681,530,1121,354,528,1496,7917,91.39326,47,35
BOS,2008,N,3075,6333,1587,2075,869,2586,3455,1862,1897,621,1280,387,538,1355,8275,2763,6418,1626,2110,834,2249,3083,1553,1820,585,1195,389,507,1452,7659,92.91111,62,20
CHI,2008,N,3126,6846,1633,2052,970,2481,3451,1732,1709,615,1192,453,493,1293,8378,3141,6864,1633,2077,1017,2491,3508,1723,1708,622,1177,449,486,1400,8401,96.20294,41,41
CHR,2008,N,2866,6299,1455,1965,886,2366,3252,1741,1754,580,1279,397,490,1339,7677,2883,6349,1457,1928,877,2310,3187,1604,1714,626,1206,488,558,1526,7781,91.20895,35,47
CLE,2008,N,3022,6454,1523,2012,886,2574,3460,1663,1663,593,1045,435,656,1670,8223,2775,6444,1459,1895,878,2310,3188,1568,1664,519,1137,338,482,1447,7491,90.91965,66,16
DAL,2008,N,3128,6770,1516,1852,909,2595,3504,1779,1600,590,1043,429,571,1632,8343,3071,6752,1522,1906,884,2509,3393,1611,1645,589,1064,334,517,1379,8181,93.66772,50,32
DEN,2008,N,3058,6510,1891,2487,905,2507,3412,1820,1874,710,1257,491,548,1477,8555,2966,6738,1742,2228,991,2391,3382,1756,1944,648,1265,447,601,1643,8275,96.44386,54,28
DET,2008,N,2981,6559,1388,1849,949,2448,3397,1689,1712,493,973,377,377,1079,7727,2876,6380,1580,2039,861,2453,3314,1651,1612,461,964,342,435,1228,7767,89.35731,39,43
GSW,2008,N,3231,7055,1893,2392,953,2492,3445,1711,1842,638,1201,527,550,1475,8905,3401,7273,1828,2346,1164,2695,3859,1980,1927,646,1229,414,582,1531,9212,101.1432,29,53
HOU,2008,N,2959,6526,1531,1903,861,2662,3523,1662,1553,548,1167,355,621,1656,8070,2991,6735,1296,1730,873,2398,3271,1620,1689,588,1022,435,464,1298,7742,92.60947,53,29
IND,2008,N,3220,7080,1525,1890,924,2661,3585,1775,1895,573,1189,434,652,1725,8617,3141,6862,1857,2431,909,2708,3617,1731,1692,635,1151,444,569,1519,8708,98.87265,36,46
LAC,2008,N,2955,6696,1354,1839,890,2377,3267,1723,1650,572,1221,482,535,1513,7799,3218,6805,1546,2035,962,2653,3615,1951,1609,652,1093,414,536,1431,8518,94.74437,19,63
LAL,2008,N,3307,6981,1607,2087,1015,2587,3602,1908,1698,718,1113,420,547,1516,8768,3050,6825,1454,1931,959,2440,3399,1854,1816,635,1284,392,586,1700,8140,96.73606,65,17
MEM,2008,N,2865,6311,1570,2077,847,2337,3184,1423,1777,615,1252,385,398,1106,7698,3018,6378,1574,2043,842,2431,3273,1735,1786,632,1194,443,536,1510,8146,92.27252,24,58
MIA,2008,N,3034,6646,1411,1871,828,2411,3239,1671,1696,651,1026,451,582,1631,8061,2920,6412,1609,2086,896,2536,3432,1646,1632,528,1246,335,591,1519,8040,92.80637,43,39
MIL,2008,N,3009,6755,1613,2067,973,2367,3340,1802,1986,609,1154,308,511,1408,8142,2854,6233,1961,2480,831,2527,3358,1730,1842,616,1350,376,562,1486,8231,94.87209,34,48
MIN,2008,N,2986,6766,1504,1957,975,2442,3417,1674,1785,512,1165,322,543,1539,8019,3109,6561,1668,2145,813,2539,3352,1765,1642,610,1028,484,536,1420,8422,93.95412,24,58
NJN,2008,N,2925,6536,1542,1980,850,2415,3265,1636,1838,559,1075,391,652,1735,8044,2953,6385,1738,2281,872,2523,3395,1793,1680,567,1103,393,600,1536,8244,92.23044,34,48
NOH,2008,N,2911,6366,1479,1833,802,2453,3255,1609,1665,593,1029,338,556,1527,7857,2851,6329,1453,1879,822,2459,3281,1649,1675,476,1089,289,575,1625,7730,89.63281,49,33
NYK,2008,N,3157,7091,1490,1900,911,2545,3456,1738,1672,610,1174,204,823,2283,8627,3378,7041,1514,1998,954,2826,3780,1774,1592,654,1188,437,571,1625,8841,98.83564,32,50
OKC,2008,N,2999,6716,1626,2069,999,2497,3496,1663,1655,608,1330,371,328,949,7952,3230,6800,1468,1930,884,2496,3380,1769,1656,697,1140,407,524,1439,8452,95.92356,23,59
ORL,2008,N,2929,6417,1611,2253,820,2728,3548,1593,1664,570,1142,438,817,2147,8286,2936,6785,1421,1882,864,2591,3455,1488,1840,564,1072,308,444,1297,7737,94.04192,59,23
PHI,2008,N,2997,6532,1652,2216,1039,2336,3375,1647,1650,658,1157,415,341,1072,7987,2997,6489,1402,1792,935,2285,3220,1799,1786,575,1278,400,585,1595,7981,92.19222,41,41
PHO,2008,N,3373,6695,1675,2251,900,2520,3420,1905,1691,589,1288,420,553,1445,8974,3278,7025,1634,2108,993,2351,3344,1741,1877,706,1165,369,626,1635,8816,97.95178,46,36
POR,2008,N,3018,6494,1521,1988,1060,2360,3420,1667,1671,550,1055,401,596,1555,8153,2899,6302,1430,1780,786,2190,2976,1590,1733,514,1082,319,487,1301,7715,89.16501,54,28
SAC,2008,N,2990,6685,1682,2107,840,2366,3206,1619,1910,569,1266,349,586,1594,8248,3281,6792,1824,2412,1018,2592,3610,1796,1737,704,1179,423,580,1430,8966,97.07132,17,65
SAS,2008,N,3042,6534,1249,1641,728,2638,3366,1736,1546,474,963,329,625,1620,7958,2973,6568,1257,1635,745,2570,3315,1481,1511,531,961,351,447,1180,7650,90.6739,54,28
TOR,2008,N,3054,6673,1534,1861,802,2513,3315,1835,1593,523,1099,390,479,1289,8121,3172,6827,1379,1759,895,2539,3434,1887,1645,521,1093,386,629,1716,8352,94.26205,33,49
UTA,2008,N,3143,6624,1814,2352,940,2422,3362,2024,1830,719,1210,374,392,1122,8492,3019,6509,1703,2233,908,2393,3301,1640,1972,658,1323,423,534,1479,8275,95.75932,48,34
WAS,2008,N,2994,6655,1494,1947,956,2329,3285,1641,1679,619,1146,365,395,1198,7877,3164,6565,1487,1959,934,2491,3425,2015,1638,593,1140,431,674,1740,8489,92.73114,19,63
ATL,2009,N,3181,6801,1452,1914,969,2451,3420,1789,1632,592,980,413,524,1455,8338,3048,6623,1380,1852,922,2471,3393,1719,1582,506,1135,359,480,1392,7956,92.55215,53,29
BOS,2009,N,3039,6294,1559,2090,716,2449,3165,1930,1816,701,1219,402,499,1433,8136,2880,6390,1606,2152,868,2418,3286,1585,1777,578,1283,386,470,1375,7836,93.5405,50,32
CHI,2009,N,3081,6825,1479,1962,937,2716,3653,1704,1648,531,1175,478,352,1066,7993,3043,6885,1457,1958,916,2589,3505,1715,1643,578,1090,438,584,1680,8127,95.82826,41,41
CHR,2009,N,2858,6306,1637,2180,858,2490,3348,1658,1597,632,1290,446,460,1331,7813,2925,6536,1270,1710,868,2382,3250,1666,1804,614,1256,502,573,1696,7693,92.96674,44,38
CLE,2009,N,3101,6391,1569,2180,791,2692,3483,1835,1591,564,1137,425,602,1582,8373,2935,6633,1444,1907,794,2366,3160,1661,1708,542,1045,325,524,1511,7838,93.24297,61,21
DAL,2009,N,3140,6760,1526,1870,834,2586,3420,1917,1563,624,1059,449,558,1498,8364,3107,6805,1402,1849,922,2592,3514,1659,1652,563,1195,337,525,1515,8141,94.93667,55,27
DEN,2009,N,3124,6678,1937,2508,889,2505,3394,1719,1844,683,1136,417,544,1517,8729,3088,6766,1695,2207,955,2513,3468,1723,1943,578,1235,438,523,1498,8394,97.03043,53,29
DET,2009,N,2940,6602,1455,1998,1053,2242,3295,1591,1822,596,1100,313,374,1190,7709,2965,6172,1630,2124,814,2420,3234,1898,1702,549,1175,401,568,1514,8128,90.6814,27,55
GSW,2009,N,3329,7094,1631,2085,753,2397,3150,1839,1886,761,1205,340,633,1687,8922,3409,7033,1832,2390,1100,2842,3942,1979,1757,645,1442,407,567,1514,9217,102.1367,26,56
HOU,2009,N,3094,6923,1561,2022,971,2471,3442,1790,1712,583,1188,318,646,1838,8395,3236,6810,1464,1917,875,2632,3507,1716,1840,597,1207,532,489,1344,8425,96.84636,42,40
IND,2009,N,3020,6823,1564,2019,785,2618,3403,1730,1848,585,1232,439,659,1896,8263,3113,6875,1774,2346,969,2852,3821,1694,1709,654,1227,414,510,1405,8510,98.71155,32,50
LAC,2009,N,3002,6601,1362,1867,927,2502,3429,1810,1581,532,1285,466,483,1457,7849,3193,6792,1455,1910,879,2490,3369,1926,1588,686,1059,363,529,1457,8370,94.29276,29,53
LAL,2009,N,3144,6875,1519,1985,973,2662,3635,1730,1592,612,1096,400,532,1562,8339,3050,6840,1332,1776,914,2546,3460,1792,1737,573,1159,363,520,1585,7952,95.16936,57,25
MEM,2009,N,3223,6875,1614,2202,1070,2496,3566,1543,1655,645,1248,399,344,1020,8404,3277,6849,1402,1858,907,2349,3256,1875,1840,635,1165,501,572,1618,8528,96.43056,40,42
MIA,2009,N,2984,6518,1452,1931,875,2553,3428,1548,1710,605,1079,457,494,1426,7914,2813,6408,1577,2091,856,2483,3339,1545,1639,517,1184,355,524,1531,7727,92.08434,47,35
MIL,2009,N,3050,6998,1264,1675,965,2560,3525,1740,1823,580,1085,385,645,1813,8009,2870,6361,1692,2211,790,2723,3513,1581,1664,573,1254,421,438,1276,7870,94.65535,46,36
MIN,2009,N,3106,6923,1436,1926,962,2556,3518,1626,1699,597,1333,306,403,1181,8051,3343,6961,1534,1981,917,2640,3557,2103,1686,721,1173,442,618,1690,8838,98.14602,15,67
NJN,2009,N,2813,6554,1572,2015,897,2358,3255,1540,1643,573,1182,393,377,1185,7575,3172,6593,1511,2021,925,2683,3608,1960,1647,638,1149,421,468,1278,8323,93.31892,12,70
NOH,2009,N,3178,6842,1293,1661,852,2450,3302,1828,1606,625,1103,300,571,1572,8220,3250,6730,1383,1841,870,2586,3456,1925,1597,574,1177,367,539,1517,8422,94.76444,37,45
NYK,2009,N,3127,6876,1376,1759,836,2477,3313,1772,1638,586,1148,305,743,2145,8373,3352,6902,1429,1896,959,2724,3683,1723,1576,585,1182,368,553,1571,8686,96.27817,29,53
OKC,2009,N,3063,6629,1778,2210,960,2607,3567,1639,1743,654,1227,481,418,1229,8322,3007,6718,1541,2018,937,2397,3334,1618,1755,616,1238,384,481,1414,8036,95.39601,50,32
ORL,2009,N,3005,6394,1575,2176,810,2736,3546,1615,1629,512,1155,456,841,2241,8426,2955,6739,1380,1830,800,2481,3281,1550,1819,551,1050,288,522,1437,7812,93.6745,59,23
PHI,2009,N,3087,6706,1366,1808,941,2421,3362,1723,1677,667,1192,439,474,1381,8014,3105,6573,1518,1983,888,2470,3358,1810,1534,621,1189,332,606,1542,8334,93.7253,27,55
PHO,2009,N,3339,6788,1631,2117,910,2616,3526,1912,1713,479,1210,418,730,1770,9039,3235,7165,1606,2114,1081,2391,3472,1704,1789,646,1065,365,561,1582,8637,97.35118,54,28
POR,2009,N,2974,6453,1606,2033,913,2383,3296,1674,1715,523,1012,350,491,1388,8045,2950,6352,1394,1870,801,2322,3123,1583,1767,485,1104,333,480,1399,7774,90.24987,50,32
SAC,2009,N,3144,6895,1430,1969,977,2518,3495,1679,1827,564,1226,366,482,1383,8200,3199,6828,1663,2149,909,2538,3447,1683,1650,586,1120,468,497,1391,8558,96.72397,25,57
SAS,2009,N,3150,6659,1458,1969,887,2621,3508,1829,1669,516,1116,381,554,1547,8312,3025,6691,1433,1896,814,2427,3241,1576,1672,567,1032,417,412,1200,7895,93.71659,50,32
TOR,2009,N,3199,6631,1618,2118,806,2507,3313,1804,1819,469,1100,384,518,1397,8534,3194,6824,1683,2146,933,2453,3386,1889,1730,580,1040,360,609,1665,8680,95.13501,40,42
UTA,2009,N,3227,6575,1654,2233,872,2588,3460,2187,1859,675,1246,400,439,1207,8547,2908,6471,1741,2286,837,2376,3213,1628,1818,632,1238,445,552,1559,8109,95.60185,53,29
WAS,2009,N,3008,6700,1444,1895,966,2458,3424,1557,1752,493,1219,421,432,1225,7892,3083,6664,1590,2088,935,2530,3465,1772,1684,569,1115,415,528,1466,8284,94.03056,26,56
